gzip

s01 ['s01', 's01', 's01', 's01', 's01', 's01', 's01'] Recall: 100.00% Accuracy: 100.00%
s02 ['s02', 's02', 's02', 's02', 's02', 's02', 's02'] Recall: 100.00% Accuracy: 100.00%
s03 ['s25', 's25', 's13', 's12', 's13', 's13', 's25'] Recall: 0.00% Accuracy: 97.50%
s04 ['s28', 's28', 's28', 's28', 's28', 's28', 's28'] Recall: 0.00% Accuracy: 97.50%
s05 ['s05', 's18', 's05', 's05', 's25', 's05', 's18'] Recall: 57.14% Accuracy: 97.14%
s06 ['s06', 's35', 's06', 's06', 's06', 's06', 's06'] Recall: 85.71% Accuracy: 99.64%
s07 ['s07', 's07', 's07', 's07', 's07', 's07', 's07'] Recall: 100.00% Accuracy: 98.21%
s08 ['s08', 's08', 's08', 's37', 's08', 's08', 's28'] Recall: 71.43% Accuracy: 91.43%
s09 ['s14', 's38', 's11', 's38', 's14', 's10', 's10'] Recall: 0.00% Accuracy: 97.50%
s10 ['s08', 's11', 's08', 's08', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 96.07%
s11 ['s11', 's11', 's11', 's08', 's11', 's08', 's11'] Recall: 71.43% Accuracy: 96.43%
s12 ['s13', 's25', 's13', 's25', 's13', 's25', 's25'] Recall: 0.00% Accuracy: 97.14%
s13 ['s13', 's13', 's13', 's13', 's13', 's13', 's13'] Recall: 100.00% Accuracy: 94.29%
s14 ['s08', 's19', 's08', 's08', 's19', 's08', 's08'] Recall: 0.00% Accuracy: 95.36%
s15 ['s24', 's35', 's15', 's05', 's15', 's23', 's23'] Recall: 28.57% Accuracy: 97.86%
s16 ['s11', 's07', 's36', 's36', 's16', 's16', 's16'] Recall: 42.86% Accuracy: 98.57%
s17 ['s17', 's19', 's17', 's28', 's07', 's17', 's28'] Recall: 42.86% Accuracy: 98.57%
s18 ['s18', 's18', 's18', 's18', 's18', 's18', 's18'] Recall: 100.00% Accuracy: 98.57%
s19 ['s19', 's19', 's19', 's19', 's19', 's19', 's19'] Recall: 100.00% Accuracy: 98.21%
s20 ['s10', 's11', 's10', 's11', 's11', 's11', 's20'] Recall: 14.29% Accuracy: 96.79%
s21 ['s23', 's28', 's28', 's28', 's33', 's28', 's28'] Recall: 0.00% Accuracy: 96.79%
s22 ['s29', 's22', 's22', 's22', 's29', 's29', 's22'] Recall: 57.14% Accuracy: 93.57%
s23 ['s23', 's23', 's23', 's23', 's28', 's26', 's26'] Recall: 57.14% Accuracy: 97.14%
s24 ['s20', 's33', 's20', 's20', 's22', 's22', 's33'] Recall: 0.00% Accuracy: 96.43%
s25 ['s25', 's25', 's25', 's25', 's25', 's25', 's25'] Recall: 100.00% Accuracy: 91.79%
s26 ['s25', 's25', 's25', 's05', 's25', 's13', 's25'] Recall: 0.00% Accuracy: 96.79%
s27 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 97.50%
s28 ['s13', 's13', 's13', 's08', 's23', 's08', 's25'] Recall: 0.00% Accuracy: 89.64%
s29 ['s22', 's24', 's24', 's33', 's22', 's29', 's39'] Recall: 14.29% Accuracy: 96.79%
s30 ['s22', 's22', 's30', 's22', 's22', 's38', 's38'] Recall: 14.29% Accuracy: 97.14%
